0.506242 139.385 0 167936 175104
0.532677 139.625 0 168960 176640
0.559112 140.058 0 170496 177664
0.585547 140.644 0 172032 179200
0.611982 141.354 0 173568 180736
0.638418 142.162 0 175104 182272
0.664853 143.048 0 176640 183808
0.690086 143.758 0 177664 185344
0.716522 144.565 0 179200 186368
0.742957 145.452 0 180736 187904
0.769392 146.401 0 182272 189440
0.794626 147.161 0 183808 192512
0.821061 148.009 0 185344 193536
0.847496 149.168 0 186368 182784
1.15751 141.924 0 135680 138752
1.21639 136.37 0 137216 140288
1.26926 132.166 0 138752 140288
1.32934 129.044 0 140288 142848
1.38701 126.787 0 141824 144384
1.43027 125.221 0 142848 145920
1.47834 124.209 0 144384 147456
1.524 123.639 0 145920 148992
1.57206 123.424 0 147456 150528
1.62012 123.492 0 148992 151552
1.67059 123.787 0 150528 153088
1.72346 124.263 0 151552 154624
1.77153 124.884 0 153088 156160
1.8268 125.621 0 154624 157696
1.88207 126.452 0 156160 159232
1.92773 127.356 0 157696 160256
1.99502 128.32 0 159232 161792
2.04309 129.331 0 160256 163328
2.11038 130.381 0 161792 164864
2.17767 131.461 0 163328 166400
2.22813 132.565 0 164864 166400
2.29783 133.689 0 166400 167936
2.36992 134.828 0 167936 168960
2.44202 135.98 0 168960 170496
2.51412 137.141 0 170496 172032
2.58621 138.311 0 172032 173568
2.66071 139.487 0 173568 175104
2.73521 140.668 0 175104 176640
2.80971 141.854 0 176640 177664
2.88421 143.042 0 177664 179200
2.96472 143.993 0 179200 180736
3.06805 144.994 0 180736 182272
3.33961 137.384 0 128512 130048
3.38648 131.536 0 130048 131584
3.45617 127.097 0 131584 133120
3.56431 123.787 0 133120 133120
3.67726 121.38 0 134656 135680
3.76138 119.694 0 135680 137216
3.84789 118.585 0 137216 138752
3.91037 117.939 0 138752 138752
4.02813 117.662 0 140288 141824
4.13868 117.681 0 141824 142848
4.20837 117.936 0 142848 142848
4.33093 118.381 0 144384 144384
4.4535 118.977 0 145920 145920
4.57606 119.694 0 147456 147456
4.70103 120.508 0 148992 148992
4.8284 121.4 0 150528 150528
5.02306 122.353 0 151552 151552
5.27299 123.356 0 153088 153088
5.62626 124.399 0 154624 154624
8.34428 125.474 0 156160 156160
8.69995 126.574 0 157696 157696
8.94988 127.694 0 159232 159232
9.14935 128.831 0 160256 160256
9.31757 129.98 0 161792 161792
9.46417 131.14 0 163328 164864
9.59635 132.309 0 164864 166400
9.71891 133.484 0 166400 167936
9.82946 134.664 0 167936 168960
9.93279 135.848 0 168960 170496
10.029 137.046 0 170496 172032
10.1492 144.02 0 172032 173568
10.2994 160.637 0 173568 175104
10.4171 173.449 0 175104 177664
10.5145 180.815 0 176640 180736
10.5878 185.747 0 177664 182272
10.6514 189.211 0 179200 183808
10.7115 192.223 0 180736 185344
10.7668 195.114 0 182272 186368
10.8281 198.147 0 183808 187904
10.8918 200.573 0 185344 189440
10.9518 202.995 0 186368 190976
11.0155 205.173 0 187904 192512
11.0732 207.636 0 189440 195072
11.1309 209.607 0 190976 196608
11.1886 212.145 0 192512 198144
11.2402 213.694 0 193536 199680
11.2943 215.655 0 195072 201216
11.3448 217.464 0 196608 202240
11.4 219.872 0 198144 203776
11.4493 221.798 0 199680 206848
11.4974 223.34 0 201216 208384
11.5442 225.054 0 202240 209920
11.5935 226.905 0 203776 210944
11.6416 229.348 0 205312 210944
11.6824 231.061 0 206848 212480
11.7281 232.913 0 208384 214016
11.7761 235.115 0 209920 214016
11.8182 237.117 0 210944 215552
11.8999 239.2 0 212480 217088
11.936 240.385 0 214016 218624
12.0261 242.054 0 215552 221184
12.0958 244.11 0 217088 222720
12.1606 246.717 0 218624 225792
12.2111 248.561 0 219648 227328
12.2652 249.797 0 221184 229888
12.3121 251.987 0 222720 231424
12.3613 253.739 0 224256 232960
12.4094 255.621 0 225792 234496
12.4454 256.886 0 227328 237056
12.4851 259.1 0 228352 238592
12.5211 260.631 0 229888 240128
12.562 262.577 0 231424 241664
12.604 264.133 0 232960 243200
12.6437 265.619 0 234496 244224
12.687 267.769 0 235520 247296
12.7182 270.209 0 237056 248832
12.7506 272.162 0 238592 250368
12.7867 273.243 0 240128 251904
12.8251 274.83 0 241664 252928
12.8588 276.339 0 243200 254464
12.8936 277.786 0 244224 256000
12.9285 279.185 0 245760 259072
12.9669 280.304 0 247296 260608
13.0042 282.4 0 248832 261632
13.0306 284.558 0 250368 263168
13.0618 286.285 0 251904 264704
13.0907 287.185 0 252928 267776
13.1255 288.626 0 254464 269312
13.1568 290.02 0 256000 270336
13.1916 291.615 0 257536 271872
13.2229 292.891 0 259072 273408
13.2541 294.153 0 260608 274944
13.289 295.402 0 261632 278016
13.3202 297.603 0 263168 279040
13.3442 300.085 0 264704 280576
13.3683 301.349 0 266240 282112
13.3983 302.842 0 267776 283648
13.4307 304.276 0 269312 285184
13.456 305.423 0 270336 286208
13.4836 307.062 0 271872 287744
13.5149 308.854 0 273408 290816
13.5413 310.287 0 274944 292352
13.5737 311.674 0 276480 293888
13.6002 312.303 0 278016 294912
13.6326 314.008 0 279040 296448
13.6614 316.573 0 280576 297984
13.6831 319.346 0 282112 301056
13.7023 320.604 0 283648 302592
13.7311 322.09 0 285184 303616
13.7564 322.799 0 286208 305152
13.79 324.567 0 287744 306688
13.8165 326.222 0 289280 308224
13.8417 327.306 0 290816 311296
13.8705 329.134 0 292352 312320
13.8946 330.116 0 293888 313856
13.9234 331.142 0 294912 315392
13.9486 332.203 0 296448 316928
13.9739 332.812 0 297984 318464
14.0075 335.221 0 299520 320000
14.0291 337.87 0 301056 322560
14.0508 340.709 0 302592 324096
14.0676 342.741 0 303616 325632
14.0892 343.405 0 305152 327168
14.1169 344.897 0 306688 328192
14.1409 345.37 0 308224 331264
14.1673 346.469 0 309760 332800
14.1938 347.83 0 311296 334336
14.219 349.398 0 312320 335872
14.2442 351.134 0 313856 336896
14.2671 352.522 0 315392 338432
14.2899 353.393 0 316928 339968
14.3139 354.33 0 318464 343040
14.3379 355.319 0 320000 344576
14.3632 355.39 0 321024 345600
14.392 357.129 0 322560 347136
14.4161 359.722 0 324096 348672
14.4353 362.517 0 325632 350208
14.4545 364.993 0 327168 353280
14.4713 366.253 0 328192 354304
14.4906 367.261 0 329728 355840
14.5134 368.549 0 331264 357376
14.5374 369.338 0 332800 358912
14.5614 371.171 0 334336 360448
14.5831 371.676 0 335872 363008
14.6107 373.522 0 336896 364544
14.6323 374.999 0 338432 366080
14.654 376.661 0 339968 367616
14.6756 377.51 0 341504 369152
14.696 378.67 0 343040 370688
14.7165 380.079 0 344576 371712
14.7405 381.446 0 345600 374784
14.7597 382.059 0 347136 376320
14.7849 382.069 0 348672 377856
14.8078 383.519 0 350208 378880
14.8342 386.121 0 351744 380416
14.8546 389.404 0 353280 381952
14.8739 392.751 0 354304 385024
14.8883 395.188 0 355840 386560
14.9063 396.418 0 357376 387584
14.9219 397.401 0 358912 389120
14.9436 398.428 0 360448 390656
14.9628 399.009 0 361984 392192
14.9844 399.714 0 363008 395264
15.0072 400.999 0 364544 396288
15.0265 401.066 0 366080 397824
15.0505 402.562 0 367616 399360
15.0757 404.719 0 369152 400896
15.0926 406.446 0 370688 403968
15.1154 407.826 0 371712 404992
15.1334 408.931 0 373248 406528
15.1526 410.055 0 374784 408064
15.1719 411.195 0 376320 409600
15.1923 412.347 0 377856 411136
15.2115 412.788 0 378880 412672
15.2319 412.66 0 380416 415232
15.2524 413.038 0 381952 416768
15.28 415.263 0 383488 418304
15.2992 417.765 0 385024 419840
15.3185 420.967 0 386560 420864
15.3353 424.25 0 387584 423936
15.3497 426.636 0 389120 425472
15.3641 428.305 0 390656 427008
15.3809 429.88 0 392192 428544
15.3978 430.9 0 393728 429568
15.4158 432.196 0 395264 432640
15.4338 432.512 0 396288 434176
15.4518 433.006 0 397824 435712
15.4711 433.881 0 399360 437248
15.4927 434.1 0 400896 438272
15.5107 434.276 0 402432 441344
15.5323 435.618 0 403968 442880
15.554 437.413 0 404992 444416
15.5708 439.089 0 406528 445952
15.59 441.151 0 408064 446976
15.6104 442.8 0 409600 450048
15.6273 443.639 0 411136 451584
15.6465 444.55 0 412672 453120
15.6657 445.76 0 413696 454656
15.6825 447.209 0 415232 455680
15.7006 448.368 0 416768 457216
15.7198 448.814 0 418304 458752
15.7354 448.69 0 419840 460288
15.7558 449.072 0 420864 461824
15.7763 450.82 0 422400 464384
15.8003 453.9 0 423936 465920
15.8147 457.085 0 425472 467456
15.8315 460.354 0 427008 468992
15.846 463.69 0 428544 470528
15.8604 466.119 0 429568 473088
15.8724 467.821 0 431104 474624
15.8892 469.183 0 432640 476160
15.9012 470.033 0 434176 477696
15.9205 471.433 0 435712 479232
15.9385 472.553 0 437248 481792
15.9529 472.969 0 438272 483328
15.9697 473.301 0 439808 484864
15.9841 473.567 0 441344 486400
16.007 474.501 0 442880 487936
16.0226 474.527 0 444416 488960
16.0394 474.788 0 445952 492032
16.0574 475.959 0 446976 493568
16.0815 478.577 0 448512 495104
16.0959 480.191 0 450048 496640
16.1127 481.723 0 451584 499200
16.1271 483.188 0 453120 500736
16.1488 485.082 0 454656 502272
16.162 486.597 0 455680 503808
16.18 487.328 0 457216 505344
16.1956 488.153 0 458752 507904
16.2148 489.053 0 460288 509440
16.2317 490.014 0 461824 510976
16.2521 491.263 0 463360 512512
16.2653 491.301 0 464384 513536
16.2785 490.13 0 465920 516608
16.2966 490.155 0 467456 518144
16.3122 490.415 0 468992 519680
16.329 491.584 0 470528 521216
16.3482 493.721 0 471552 522240
16.365 496.151 0 473088 523776
16.3783 498.576 0 474624 525312
16.3903 500.757 0 476160 528384
16.4047 502.26 0 477696 529920
16.4167 503.464 0 479232 530944
16.4287 503.946 0 480256 532480
16.4407 503.85 0 481792 534016
16.4528 503.534 0 483328 535552
16.4672 503.041 0 484864 538624
16.4816 502.886 0 486400 539648
16.4936 501.801 0 487936 541184
16.5044 500.212 0 488960 542720
16.5177 498.941 0 490496 544256
