+1e+10ns 0.0
+1.03e+10ns 4.68288
+1.05e+10ns 3.42
+1.07e+10ns 2.76
+1.09e+10ns 2.76
+1.11e+10ns 2.82
+1.13e+10ns 2.76
+1.15e+10ns 2.88
+1.17e+10ns 3
+1.19e+10ns 3.18
+1.21e+10ns 2.88
+1.23e+10ns 2.94
+1.25e+10ns 2.88
+1.27e+10ns 3.42
+1.29e+10ns 2.76
+1.31e+10ns 2.76
+1.33e+10ns 3.42
+1.35e+10ns 2.64
+1.37e+10ns 3
+1.39e+10ns 2.64
+1.41e+10ns 2.76
+1.43e+10ns 2.94
+1.45e+10ns 2.64
+1.47e+10ns 2.76
+1.49e+10ns 2.88
+1.51e+10ns 2.52
+1.53e+10ns 3.18
+1.55e+10ns 1.86
+1.57e+10ns 2.64
+1.59e+10ns 2.46
+1.61e+10ns 2.58
+1.63e+10ns 2.7
+1.65e+10ns 1.26
+1.67e+10ns 1.08
+1.69e+10ns 3.84
+1.71e+10ns 1.32
+1.73e+10ns 3.6
+1.75e+10ns 1.2
+1.77e+10ns 3.18
+1.79e+10ns 1.92
+1.81e+10ns 2.34
+1.83e+10ns 2.7
+1.85e+10ns 2.16
+1.87e+10ns 3.96
+1.89e+10ns 1.26
+1.91e+10ns 2.7
+1.93e+10ns 2.52
+1.95e+10ns 1.98
+1.97e+10ns 3.9
+1.99e+10ns 1.32
+2.01e+10ns 2.34
+2.03e+10ns 1.92
+2.05e+10ns 1.14
+2.07e+10ns 3.6
+2.09e+10ns 1.2
+2.11e+10ns 3.66
+2.13e+10ns 1.2
+2.15e+10ns 3.72
+2.17e+10ns 1.14
+2.19e+10ns 3.48
+2.21e+10ns 1.14
+2.23e+10ns 3
+2.25e+10ns 2.04
+2.27e+10ns 1.74
+2.29e+10ns 3.72
+2.31e+10ns 0.6
+2.33e+10ns 1.62
+2.35e+10ns 1.86
+2.37e+10ns 1.14
+2.39e+10ns 1.08
+2.41e+10ns 1.62
+2.43e+10ns 1.26
+2.45e+10ns 0.06
+2.47e+10ns 0
+2.49e+10ns 0.18
+2.51e+10ns 0
+2.53e+10ns 0.3
+2.55e+10ns 0
+2.57e+10ns 0.48
+2.59e+10ns 0.12
+2.61e+10ns 0
+2.63e+10ns 0.96
+2.65e+10ns 0.24
+2.67e+10ns 1.92
+2.69e+10ns 0.36
+2.71e+10ns 0
+2.73e+10ns 2.04
+2.75e+10ns 0.36
+2.77e+10ns 0.36
+2.79e+10ns 1.62
+2.81e+10ns 0.24
+2.83e+10ns 1.5
+2.85e+10ns 0.36
+2.87e+10ns 1.68
+2.89e+10ns 0.42
+2.91e+10ns 1.68
+2.93e+10ns 0.54
+2.95e+10ns 1.08
+2.97e+10ns 1.2
+2.99e+10ns 0.36
+3.01e+10ns 2.1
+3.03e+10ns 0.36
+3.05e+10ns 2.04
+3.07e+10ns 2.04
+3.09e+10ns 0.48
+3.11e+10ns 2.28
+3.13e+10ns 2.04
+3.15e+10ns 0.72
+3.17e+10ns 2.04
+3.19e+10ns 2.04
+3.21e+10ns 0.72
+3.23e+10ns 2.04
+3.25e+10ns 2.04
+3.27e+10ns 0.78
+3.29e+10ns 2.04
+3.31e+10ns 2.22
+3.33e+10ns 0.78
+3.35e+10ns 2.22
+3.37e+10ns 2.4
+3.39e+10ns 0.66
+3.41e+10ns 2.64
+3.43e+10ns 2.64
+3.45e+10ns 0.54
+3.47e+10ns 3.3
+3.49e+10ns 1.92
+3.51e+10ns 1.68
+3.53e+10ns 3.12
+3.55e+10ns 1.56
+3.57e+10ns 3.42
+3.59e+10ns 2.7
+3.61e+10ns 1.98
+3.63e+10ns 4.26
+3.65e+10ns 0.96
+3.67e+10ns 4.86
+3.69e+10ns 1.38
+3.71e+10ns 5.16
+3.73e+10ns 1.8
+3.75e+10ns 5.76
+3.77e+10ns 1.5
+3.79e+10ns 7.2
+3.81e+10ns 1.5
+3.83e+10ns 6.18
+3.85e+10ns 4.08
+3.87e+10ns 3.48
+3.89e+10ns 6.54
+3.91e+10ns 1.92
+3.93e+10ns 5.94
+3.95e+10ns 6.18
+3.97e+10ns 0.06
+3.99e+10ns 4.98208
+4.01e+10ns 3.06
+4.03e+10ns 5.1
+4.05e+10ns 0.18
+4.07e+10ns 0
+4.09e+10ns 0.24
+4.11e+10ns 17.9421
+4.13e+10ns 0
+4.15e+10ns 0
+4.17e+10ns 0
+4.19e+10ns 0
+4.21e+10ns 0
+4.23e+10ns 0
+4.25e+10ns 0
+4.27e+10ns 0
+4.29e+10ns 0
+4.31e+10ns 0
+4.33e+10ns 0
+4.35e+10ns 0
+4.37e+10ns 0
+4.39e+10ns 0
+4.41e+10ns 0
+4.43e+10ns 0
+4.45e+10ns 0
+4.47e+10ns 0
+4.49e+10ns 0
+4.51e+10ns 0
+4.53e+10ns 0
+4.55e+10ns 0
+4.57e+10ns 0
+4.59e+10ns 0
+4.61e+10ns 0
+4.63e+10ns 0
+4.65e+10ns 0
+4.67e+10ns 0
+4.69e+10ns 0
+4.71e+10ns 0
+4.73e+10ns 0
+4.75e+10ns 0
+4.77e+10ns 0
+4.79e+10ns 0
+4.81e+10ns 0
+4.83e+10ns 0
+4.85e+10ns 0
+4.87e+10ns 0
+4.89e+10ns 0
+4.91e+10ns 0
+4.93e+10ns 0
+4.95e+10ns 0
+4.97e+10ns 0
+4.99e+10ns 0
