10.5586 2106841 696832
10.5605 1411801 624128
12.042 5063657 175104
12.0421 5065105 175104
12.0422 5066553 175104
12.0424 5068001 175104
12.0425 5069449 175104
12.0426 5070897 175104
12.0427 5072345 175104
12.043 5073793 175104
12.0432 5075241 175104
12.0433 5076689 175104
12.0434 5078137 175104
12.0436 5079585 175104
12.0437 5081033 175104
12.0438 5082481 175104
12.044 5083929 175104
12.0443 5085377 175104
12.0444 5086825 175104
12.0445 5088273 175104
12.0446 5089721 175104
12.0448 5091169 175104
12.045 5092617 175104
12.0452 5094065 175104
12.0454 5095513 175104
12.0455 5096961 175104
12.0456 5098409 175104
12.0457 5099857 175104
12.046 5101305 175104
12.0462 5102753 175104
12.0463 5104201 175104
12.0464 5105649 175104
12.0466 5107097 175104
12.0468 5108545 175104
12.047 5109993 175104
12.0472 5111441 175104
12.0473 5112889 175104
12.0475 5114337 175104
12.0478 5115785 175104
12.0479 5117233 175104
12.048 5118681 175104
12.0482 5120129 175104
12.0485 5121577 175104
12.0487 5123025 175104
12.049 5124473 175104
12.0816 5125921 175104
12.0819 5127369 175104
12.082 5128817 175104
12.0821 5130265 175104
12.0822 5131713 175104
12.0825 5133161 175104
12.0827 5134609 175104
12.0828 5136057 175104
12.083 5137505 175104
12.0831 5138953 175104
12.0832 5140401 175104
12.0833 5141849 175104
12.0834 5143297 175104
12.0836 5144745 175104
12.0837 5146193 175104
12.0838 5147641 175104
12.0839 5149089 175104
12.084 5150537 175104
12.0842 5151985 175104
12.0844 5153433 175104
12.0846 5154881 175104
12.0848 5156329 175104
12.0849 5157777 175104
12.085 5159225 175104
12.0851 5160673 175104
12.0852 5162121 175104
12.0854 5163569 175104
12.0855 5165017 175104
12.0856 5166465 175104
12.0857 5167913 175104
12.0858 5169361 175104
12.086 5170809 175104
12.0861 5172257 175616
12.0862 5173705 175616
12.0863 5175153 175616
12.0865 5176601 175616
12.0867 5178049 175616
12.0869 5179497 175616
12.0871 5180945 175616
12.0872 5182393 175616
12.0873 5183841 175616
12.0874 5185289 175616
12.0875 5186737 175616
12.0877 5188185 175616
12.0878 5189633 175616
12.0879 5191081 175616
12.088 5192529 175616
12.0881 5193977 175616
12.0883 5195425 175616
12.0885 5196873 175616
12.0887 5198321 175616
12.0889 5199769 175616
12.089 5201217 175616
12.0891 5202665 175616
12.0892 5204113 175616
