10.5202 1782489 348672
10.5205 1783937 350720
10.5207 1785385 350720
10.521 1786833 350720
10.5212 1788281 350720
10.5214 1789729 350720
10.5217 1791177 350720
10.5219 1792625 350720
10.5222 1794073 350720
10.5224 1795521 350720
10.5231 1796969 350720
10.5234 1798417 350720
10.5241 1799865 350720
10.5246 1801313 350720
10.5253 1802761 350720
10.5258 1804209 350720
10.5265 1805657 350720
10.527 1807105 350720
10.5274 1808553 350720
10.5282 1810001 350720
10.5289 1811449 350720
10.5291 1812897 350720
10.5298 1814345 350720
10.5306 1815793 350720
10.5311 1817241 350720
10.5315 1818689 350720
10.5323 1820137 350720
10.5327 1821585 350720
10.5332 1823033 350720
10.5339 1824481 350720
10.5347 1825929 350720
10.5351 1827377 350720
10.5356 1828825 350720
10.5363 1830273 350720
10.5368 1831721 350720
10.5373 1833169 350720
10.538 1834617 350720
10.5385 1836065 350720
10.5392 1837513 350720
10.5397 1838961 350720
10.5404 1840409 350720
10.5409 1841857 350720
10.5414 1843305 350720
10.5421 1844753 350720
10.5428 1846201 350720
10.5433 1847649 350720
10.5438 1849097 350720
10.5445 1850545 350720
10.5452 1851993 350720
10.5457 1853441 350720
10.5462 1854889 350720
10.5469 1856337 350720
10.5474 1857785 350720
10.5621 1859233 208384
10.5628 1860681 211456
10.5633 1862129 211456
10.564 1863577 214016
10.5645 1865025 217088
10.5649 1866473 220160
10.5654 1867921 222720
10.5659 1869369 225792
10.5664 1870817 228864
10.5669 1872265 231424
10.5673 1873713 234496
10.5678 1875161 237568
10.5681 1876609 240128
10.5683 1878057 243200
10.5685 1879505 248832
10.5688 1880953 248832
10.5695 1882401 251904
10.5697 1883849 257536
10.5702 1885297 257536
10.5707 1886745 263680
10.5709 1888193 266240
10.5712 1889641 272384
10.5714 1891089 274944
10.5717 1892537 281088
10.5719 1893985 283648
10.5721 1895433 289792
10.5724 1896881 292352
10.5726 1898329 297984
10.5729 1899777 301056
10.5731 1901225 304128
10.5733 1902673 309760
10.5736 1904121 312832
10.5738 1905569 318464
10.5741 1907017 321536
10.5743 1908465 327168
10.5745 1909913 330240
10.5748 1911361 335872
10.575 1912809 338944
10.5753 1914257 344576
10.5755 1915705 347648
10.5758 1917153 247808
10.576 1918601 247808
10.5765 1920049 247808
10.5767 1921497 247808
10.5772 1922945 247808
10.5774 1924393 247808
10.5779 1925841 247808
10.5782 1927289 247808
10.5786 1928737 247808
10.5789 1930185 247808
10.5794 1931633 247808
10.5796 1933081 247808
10.5801 1934529 247808
10.5806 1935977 247808
10.5808 1937425 247808
10.5813 1938873 247808
10.5818 1940321 247808
10.582 1941769 247808
10.5825 1943217 247808
10.5827 1944665 247808
10.5832 1946113 247808
10.5834 1947561 247808
10.5839 1949009 247808
10.5844 1950457 247808
10.5846 1951905 247808
10.5851 1953353 247808
10.5856 1954801 247808
10.5858 1956249 247808
10.5863 1957697 247808
10.5866 1959145 247808
10.587 1960593 247808
10.5873 1962041 247808
10.5878 1963489 247808
10.5882 1964937 247808
10.5885 1966385 247808
10.589 1967833 247808
10.5892 1969281 247808
10.5897 1970729 247808
10.5899 1972177 247808
10.5904 1973625 247808
10.5909 1975073 247808
10.5911 1976521 247808
10.5916 1977969 247808
10.5919 1979417 247808
10.5923 1980865 247808
10.5926 1982313 247808
10.5931 1983761 247808
10.5935 1985209 247808
10.5938 1986657 247808
10.5943 1988105 247808
10.5947 1989553 247808
10.595 1991001 247808
10.5955 1992449 247808
10.5957 1993897 247808
10.5962 1995345 247808
10.5964 1996793 247808
10.5969 1998241 247808
10.5974 1999689 247808
10.5976 2001137 247808
10.5981 2002585 247808
10.5983 2004033 247808
10.5988 2005481 247808
10.5991 2006929 247808
10.5995 2008377 247808
10.6 2009825 247808
10.6003 2011273 247808
10.6007 2012721 247808
10.601 2014169 247808
10.6015 2015617 247808
10.6017 2017065 247808
10.6022 2018513 247808
10.6027 2019961 247808
10.6029 2021409 247808
10.6034 2022857 247808
10.6039 2024305 247808
10.6041 2025753 247808
10.6046 2027201 247808
10.6048 2028649 247808
10.6053 2030097 247808
10.6055 2031545 247808
10.606 2032993 247808
10.6065 2034441 247808
10.6068 2035889 247808
10.6072 2037337 247808
