+1e+10ns 0.0
+1.03e+10ns 21.1229
+1.05e+10ns 75.06
+1.07e+10ns 49.74
+1.09e+10ns 57.18
+1.11e+10ns 57.48
+1.13e+10ns 56.7
+1.15e+10ns 56.1
+1.17e+10ns 55.68
+1.19e+10ns 60.66
+1.21e+10ns 48
+1.23e+10ns 52.86
+1.25e+10ns 52.44
+1.27e+10ns 52.2
+1.29e+10ns 59.52
+1.31e+10ns 58.62
+1.33e+10ns 57.12
+1.35e+10ns 59.58
+1.37e+10ns 57.66
+1.39e+10ns 54.72
+1.41e+10ns 51.72
+1.43e+10ns 51.54
+1.45e+10ns 50.34
+1.47e+10ns 50.58
+1.49e+10ns 49.92
+1.51e+10ns 48.36
+1.53e+10ns 47.34
+1.55e+10ns 49.26
+1.57e+10ns 48
+1.59e+10ns 48.3
+1.61e+10ns 45.96
+1.63e+10ns 47.82
+1.65e+10ns 47.76
+1.67e+10ns 47.22
+1.69e+10ns 46.26
+1.71e+10ns 48.9
+1.73e+10ns 47.58
+1.75e+10ns 44.52
+1.77e+10ns 48.96
+1.79e+10ns 44.46
+1.81e+10ns 48
+1.83e+10ns 44.16
+1.85e+10ns 47.76
+1.87e+10ns 43.56
+1.89e+10ns 46.8
+1.91e+10ns 45.3
+1.93e+10ns 43.56
+1.95e+10ns 46.26
+1.97e+10ns 43.08
+1.99e+10ns 45.12
+2.01e+10ns 45.12
+2.03e+10ns 40.92
+2.05e+10ns 38.64
+2.07e+10ns 29.94
+2.09e+10ns 15.36
+2.11e+10ns 20.28
+2.13e+10ns 21.6
+2.15e+10ns 19.74
+2.17e+10ns 22.14
+2.19e+10ns 10.8
+2.21e+10ns 33
+2.23e+10ns 41.28
+2.25e+10ns 40.98
+2.27e+10ns 40.8
+2.29e+10ns 41.22
+2.31e+10ns 39.36
+2.33e+10ns 39.72
+2.35e+10ns 39.66
+2.37e+10ns 39.12
+2.39e+10ns 39.06
+2.41e+10ns 37.26
+2.43e+10ns 38.04
+2.45e+10ns 37.8
+2.47e+10ns 37.92
+2.49e+10ns 37.8
+2.51e+10ns 38.16
+2.53e+10ns 38.4
+2.55e+10ns 38.4
+2.57e+10ns 36.96
+2.59e+10ns 38.46
+2.61e+10ns 38.28
+2.63e+10ns 38.16
+2.65e+10ns 37.08
+2.67e+10ns 37.92
+2.69e+10ns 38.04
+2.71e+10ns 38.76
+2.73e+10ns 36.84
+2.75e+10ns 37.68
+2.77e+10ns 38.16
+2.79e+10ns 36.9
+2.81e+10ns 36.96
+2.83e+10ns 36.84
+2.85e+10ns 36.9
+2.87e+10ns 36.6
+2.89e+10ns 36.36
+2.91e+10ns 36.96
+2.93e+10ns 37.08
+2.95e+10ns 38.4
+2.97e+10ns 36.72
+2.99e+10ns 36.9
+3.01e+10ns 54.48
+3.03e+10ns 59.64
+3.05e+10ns 58.14
+3.07e+10ns 58.62
+3.09e+10ns 54.06
+3.11e+10ns 52.92
+3.13e+10ns 49.26
+3.15e+10ns 50.04
+3.17e+10ns 51.18
+3.19e+10ns 43.62
+3.21e+10ns 39.72
+3.23e+10ns 41.94
+3.25e+10ns 39.42
+3.27e+10ns 40.38
+3.29e+10ns 38.34
+3.31e+10ns 39.48
+3.33e+10ns 39.12
+3.35e+10ns 41.04
+3.37e+10ns 42.3
+3.39e+10ns 37.32
+3.41e+10ns 40.92
+3.43e+10ns 40.32
+3.45e+10ns 39.24
+3.47e+10ns 39.6
+3.49e+10ns 41.7
+3.51e+10ns 38.1
+3.53e+10ns 41.94
+3.55e+10ns 36.96
+3.57e+10ns 41.88
+3.59e+10ns 40.8
+3.61e+10ns 38.28
+3.63e+10ns 42.12
+3.65e+10ns 36.72
+3.67e+10ns 41.88
+3.69e+10ns 41.1
+3.71e+10ns 37.5
+3.73e+10ns 43.08
+3.75e+10ns 36.48
+3.77e+10ns 40.68
+3.79e+10ns 42.54
+3.81e+10ns 36.18
+3.83e+10ns 43.56
+3.85e+10ns 37.32
+3.87e+10ns 39
+3.89e+10ns 44.1
+3.91e+10ns 35.94
+3.93e+10ns 43.56
+3.95e+10ns 37.68
+3.97e+10ns 39.36
+3.99e+10ns 43.8621
+4.01e+10ns 0.00576
+4.03e+10ns 0
+4.05e+10ns 0
+4.07e+10ns 0
+4.09e+10ns 0
+4.11e+10ns 0
+4.13e+10ns 0
+4.15e+10ns 0
+4.17e+10ns 0
+4.19e+10ns 0
+4.21e+10ns 0
+4.23e+10ns 0
+4.25e+10ns 0
+4.27e+10ns 0
+4.29e+10ns 0
+4.31e+10ns 0
+4.33e+10ns 0
+4.35e+10ns 0
+4.37e+10ns 0
+4.39e+10ns 0
+4.41e+10ns 0
+4.43e+10ns 0
+4.45e+10ns 0
+4.47e+10ns 0
+4.49e+10ns 0
+4.51e+10ns 0
+4.53e+10ns 0
+4.55e+10ns 0
+4.57e+10ns 0
+4.59e+10ns 0
+4.61e+10ns 0
+4.63e+10ns 0
+4.65e+10ns 0
+4.67e+10ns 0
+4.69e+10ns 0
+4.71e+10ns 0
+4.73e+10ns 0
+4.75e+10ns 0
+4.77e+10ns 0
+4.79e+10ns 0
+4.81e+10ns 0
+4.83e+10ns 0
+4.85e+10ns 0
+4.87e+10ns 0
+4.89e+10ns 0
+4.91e+10ns 0
+4.93e+10ns 0
+4.95e+10ns 0
+4.97e+10ns 0
+4.99e+10ns 0
