flow,corr,slope,intercept,best_lag_ms,lag_corr,sign_accuracy
0,0.9987567708592074,0.9827004560911792,0.348444841959808,0.0,0.9987567708592074,0.5500513347022588
1,0.9957197789321687,0.9941571636037417,0.009204727837292695,0.0,0.9957197789321687,0.5666798575385833
2,0.9656919622922151,0.9549294126260778,1.8948700534041258,10.0,0.9674911773699175,0.5456760048721072
